hour	avg_followers_online
00	19.6
01	16.8
02	19.9
03	31.0
04	50.0
05	64.1
06	72.8
07	75.8
08	76.7
09	80.1
10	79.9
11	84.7
12	82.8
13	83.7
14	85.7
15	85.1
16	87.0
17	89.2
18	92.4
19	89.1
20	75.9
21	55.8
22	41.3
23	26.6
